"id","profileName","text","date","title","rating","images","helpful","Style","Size","Color"
"RLS2J6NF0950F","Scientist","
  It took six hours to set upI am a techy electronics engineer.  I have dozens of patents in electronics and have written thousands of lines of computer code, in three different programming languages.  But this watch is quite a challenge.When I tried to pair the watch to the phone, the phone said I must update the phone to OS 14.8.1.  Yet I have always had ""automatic updates"" ""on"" in the phone menu.So I spent a half-hour updating to OS 14.8.1.I tried to pair the watch to the phone again and the phone said my OS must be updated.  But I had just updated it.  So I called apple support.  They directed me to update my OS to 15.1.  Why was I previously directed to update to 14.8.1 when that was obsolete?  Updating to 15.1 took an hour!Next when I tried to pair the watch, the message on the phone says that I need to charge the watch.  I examined the watch charge cable and it must plug into a USB ""C"" charger which is not included with the watch.  Do you have such a charger?  I didn't even know such chargers existed.  I have ten chargers, including several made by apple, and they all only accept the original USB plug, called USB ""A"".I recall reading a few weeks ago that apple was no longer including chargers.  I thought, that's ok, we all have lots of chargers.  But nobody has USB ""C"" chargers, they are very new.So I ordered a USB ""C"" charger.The charger arrived I started the pairing process.  But the phone stuck for 30 minutes during the pairing process so I called support.  They couldn't get it to work by the standard way, which is to update the watch software, so they opted to install without updating the watch software.  That worked with lots of hand holding and took about 45 minutesAll together I spent about six hours getting the phone to work.Has apple lost their mind?
","Reviewed in the United States on November 1, 2021","It took six hours to set up",1,"","1027","GPS","41mm","(PRODUCT)RED Aluminum Case w (PRODUCT)RED Band"
"R2ISAO5L7EIMMN","Jesse Jantz","
  The Apple Watch 7 is nice. Especially if you are upgrading from a version that is several years old.But beware, it only comes with a charger that is USB C. So if you don’t already have a usb power brick or old Watch charger, you have to buy that and won’t be able to charge your watch
","Reviewed in the United States on October 17, 2021","Great Watch. Missing power block.",4,"","658","GPS","41mm","Blue Aluminum Case with Abyss Blue Sport Band"
"R2DTFHEKL1WYDV","Bastet","
  If I knew that they were going to make all their chargers USB-C and not provide any blocks for no reason other than to force people to spend more money, I wouldn’t have bought it.
","Reviewed in the United States on November 2, 2021","Apple’s Money Grab Makes Me Sick",1,"","595","GPS","41mm","Starlight Aluminum Case with Starlight Sport Band"
"R1C1Z05U2ZXK25","Denis McCarthy","
  This is my first Apple Watch. I feel incredibly stupid for waiting this long to buy one! This thing is SO amazing! I decided to go with the Graphite Stainless case. It’s certainly more expensive than the aluminum models which are also super nice. The watch is very easy to setup and connects nearly instantly to your IPhone. The apps and available customizable watch faces are nearly limitless. The 45mm fits my wrist perfectly - it’s not too big. It looks amazing! Make sure to order a USB C charger when you order your watch. I’m not sure why it’s not included. Other than that it’s perfect!! Absolutely love it. Probably one of the best little things I’ve ever bought for me!
","Reviewed in the United States on October 31, 2021","So amazing!",5,"https://m.media-amazon.com/images/I/61YlMMknn8L.jpg","563","GPS + Cellular","45mm","Graphite Stainless Steel Case w Abyss Blue Band"
"R1CXRX244R4HDL","Sean Hathaway","
  So far. Got the watch. Turned it on. When it tried to link to my Iphone it said I needed to update my Iphone. So I updated my Iphone which took hours. By that time the watch had run out of the factory charge. Dead watch. They give you a magnetic charger which has a USB C male end which fits nothing I have. Seriously! I paid over $700 for this thing and they couldn't include a real charger?  So, at this point it sucks.
","Reviewed in the United States on November 17, 2021","They give you a USB C plug to charge with.",1,"","462",,,
"RLT2N1ISSBV84","Susan B Hannah","
  My husband went to open up his birthday gift of this Apple Watch and there was the charger the band but there was NO Apple Watch in the box. This is the SECOND time I’ve ordered an Apple Watch off Amazon and received no Apple Watch
","Reviewed in the United States on November 26, 2021","No Apple Watch in the box!!!!!",1,"https://m.media-amazon.com/images/I/71w6H6nFb1L.jpg","289","GPS","45mm","Midnight Aluminum Case with Midnight Sport Band"
"R1CYX9ENDR2MEI","Brandy Judd","
  I’m upgrading from a series 1, so it is a completely different watch. I am very satisfied with this purchase. Most of the heart monitoring functions only work with people older than 22 which is frustrating for me especially since I paid for the watch, so I should get access to all the features. Nonetheless, I really like the starlight Apple Watch and band. It’s very subtle and nice to look at. Hopefully braided solo loops get a sale soon bc I really would like one. It is a pain that they don't give power bricks, but this is the new age. I highly suggest you purchase many usb c power bricks and switch all cords from usb a to usb c. Anker has great ones and you can always find deals for them.
","Reviewed in the United States on October 21, 2021","Apple Watch 7",5,"","340","GPS","41mm","Starlight Aluminum Case with Starlight Sport Band"
"R3H0D31UYUNWZ8","Solomon","
  the magnet on the armband is too weak. the armband keeps slipping loose and ends up dangling on my arm every 20 minutes. and this is just while walking around the home or office. this band is absolutely unusable when exercising. the watch slips right off. i paid about $300 extra for a pretty armband, and it turned out to be a complete turd. i will be returning it and getting one of the base models
","Reviewed in the United States on October 30, 2021","the magnet on the armband is too weak",3,"","248",,,
"R8A5VLKO1OWLP","Cameron","
  Got my series 7 45 mm stainless steel in graphite was lucky to get it today on the 24th of October 2021 and ordered it 2 days on the 22nd coming from a 44 mm series 6 in product red loving the new series 7 in graphite color to match my 13 pro max in graphite and first impressions of it was screen is big even though it’s not much bigger also the watch face I’m using is called Lumy. You can find it on AppStore on your iphone shoutout to zollotech the youtuber for showing it in his videos
","Reviewed in the United States on October 24, 2021","Apple Watch series 7!",5,"https://m.media-amazon.com/images/I/61OjTKUrKxL.jpg","228","GPS + Cellular","45mm","Graphite Stainless Steel w Graphite Milanese Loop"
"R9QE0TCKR29XS","Veronica L. Macmillan","
  Does not come with the a charger for their new “C” cable. Does not work with older USB chargers so you need to order the new charger.
","Reviewed in the United States on November 15, 2021","WARNING !",1,"","98","GPS","45mm","Blue Aluminum Case with Abyss Blue Sport Band"
