,Text,Text Classification,Sentiment
0,battery life is very bad not recommended for extended periods of time doing exercise i do mtb and after 2 hours battery drains and you loose all remaining data the info on the apple workout not very detailed the glass not very resistant to scratches,battery,negative
1,not enough battery time love the availability of answering the phone text messages a lot to read about to use properly,battery,positive
2,wowabsolutely this is amazingyou have worry about price or battery are you a apple fanboy or fangirl  it does not matter it covered all of them buy right now specially it was amazing when i work out outside and i felt apple watch check my health all day if you have concern about thing in this pandemic i recommend buy this also it is better than se,battery,positive
3,I love reliable seller arrived with original sealed box as previous comments within the delivery period the only negative point is that I found that the battery lasts a maximum of 2 days at least for me my remaining use everything is great,battery,positive
4,great battery life 24 hours i use it to track my runs cycling weight lifting walks much more also not too big just right,battery,positive
5,not even close to performance of a fitbit battery does not last a full day even with always on turned off mine may be defective sleep tracking gives a total but no detail mode has to be manually changed for an outdoor walk apps on the whole work really well with the iphone but in my case the fitbit does just as well for a lot less money and it holds a charge for 4 5 days,battery,positive
6,i absolutely love my new apple watch i upgraded to the 7 because i had a 2 and my battery was not holding a charge all day the 7 is amazing and was the best price i could find in this model,battery,positive
7,excellent all features and upgrades are worth the price battery takes at least 24 hours to be charged again,battery,positive
8,i liked the watch however amazon dropped the price dollar42 less than 5 days after i got it from them amazon refused to refund the price difference so i returned it battery life was awful even when i removed numerous apps from it and turned off numerous notifications the watch itself i also decided i did not need that big of an electronic nanny measuring how long i washed my hands when i needed to take deep breaths etc so i decided to not buy it at all simply not for me,battery,negative
9,the watch is nice the battery life does not last more than a day specially if you use the workout activity app,battery,positive
10,i was worried the watch was not going to work based on some of these reviews but it came in perfect condition it did take a while to charge up but then it was good to go buy it the battery has lasted me all day,battery,positive
11,the apples watch has a great set of features integration with apps and level of control on notifications which is something i noticed missing on other watches i had tried ability to unlock your iphone which is great if you are wearing a mask these days also the apple pay is nice bonus best smartwatch i have tried to date biggest draw backs short battery life plan to charge it daily and no temperature sensor,battery,positive
12,Excellent product as apple standard however I expected more from the battery,battery,positive
13,i dislike the battery life if you havevto charge it every night so if you have to charge it every night then what good is the sleep function charging cord does not have the usb connection so you also have to go and buy another cord or abother plug to use it,battery,positive
14,it took me a while to decide to upgrade my apple watch hard to justify a smart watch over dollar300 in my opinion however my series 3 was so slow took forever to install an update no space for apps data storage etc i got a fitbit charge 5 as a temporary place holder tried to convince myself i liked it more than an apple watch ultimately i came back to apple i opted for the 41mm series 7 because i did not need an extra 4mm for another dollar100 it moves so seamlessly fast to charge lightyears ahead of the series 3 lots of new watch face templates to choose from beautiful edge to edge display of course you can choose to have always on display but that will quickly deplete your battery life ultimately just get the upgrade that is within your budget and you will not regret it,battery,positive
15,the watch is perfect as always the apple battery leaves something to be desired the rest super met my expectations,battery,positive
16,great product am very happy with purchase took me awhile to figure out getting notifications to work do not know if i messed up the settings so i reset watch and now works great only thing i do not like is needing to charge daily i had a cheap smart watch and it would take 2 3 weeks until it needed to be charged although the cheap smart watch could not be used to answer phone or reply to messages all in all i am very happy with product,battery,positive
17,great watch with many features same crappy battery life my fitbit lasts 10 14 days between recharges,battery,positive
18,love it of course battery life is not compared to fitbit luxe you have to compare apples to apples fitbit is a tracker iwatch is a tiny ipad no comparison the sleep tech could really use some tech update but the added fall program with all the balance monitoring the heart health monitoring hearing monitoring plus so much more is above and beyond anything i have tried fitbit sense not even close in performance but very close in dollardollardollardollar,battery,positive
19,i bought this for husband and i have series 3 with me when we compare both you have to charging for series is 3 just for 15 mins but to series 7 it takes like 22 mins and still need to keep one more time in a day so a part form battery every this is good quality and all,battery,positive
