,Text,Text Classification
0,battery life is very bad not recommended for extended periods of time doing exercise i do mtb and after 2 hours battery drains and you loose all remaining data the info on the apple workout not very detailed the glass not very resistant to scratches,battery
1,i received my package today and was very disappointed to find one watch band and no watch,strap
2,not enough battery time love the availability of answering the phone text messages a lot to read about to use properly,battery
3,wowabsolutely this is amazingyou have worry about price or battery are you a apple fanboy or fangirl  it does not matter it covered all of them buy right now specially it was amazing when i work out outside and i felt apple watch check my health all day if you have concern about thing in this pandemic i recommend buy this also it is better than se,battery
4,ordered this watch on tuesday and received thursday set up in a quick 10 minutes and so far love love 100percent worth the money,screen
5,love my apple watch,screen
6,I love reliable seller arrived with original sealed box as previous comments within the delivery period the only negative point is that I found that the battery lasts a maximum of 2 days at least for me my remaining use everything is great,battery
7,i have been wanting an apple watch for a while i finally found one on here and it has been amazing,screen
8,love everything about this watch,screen
9,great battery life 24 hours i use it to track my runs cycling weight lifting walks much more also not too big just right,battery
10,not even close to performance of a fitbit battery does not last a full day even with always on turned off mine may be defective sleep tracking gives a total but no detail mode has to be manually changed for an outdoor walk apps on the whole work really well with the iphone but in my case the fitbit does just as well for a lot less money and it holds a charge for 4 5 days,battery
11,thanks amazon for the fast shipping love my new series 7 red apple watch,screen
12,very awesome watch,screen
13,if my wife was not so enamored with apple i would never spend another dime with them they been pulling this kind of thing for years and their customers apparently have no problems with this,others
14,the watch is wonderful and those who know it know what I'm talking about perfect in all the functions promised the exceptional delivery very fast came very well packaged and I'm super satisfied,others
15,i love the bigger screen and new features,screen
16,it is a great watch and thanks to amazon i received it a month earlier 10 22 than ordering from apple or verizon and waiting to be delivered on late november or early december,screen
17,this new watch is so much easier to read i really love it,screen
18,i absolutely love my new apple watch i upgraded to the 7 because i had a 2 and my battery was not holding a charge all day the 7 is amazing and was the best price i could find in this model,battery
19,i was hoping this was not a scam because every store was out of this watch i am pleased to say it is perfect,screen
20,excellent all features and upgrades are worth the price battery takes at least 24 hours to be charged again,battery
21,I'm changing models despite the reviews it's worth the upgrade the screen is very beautiful wide the new colors and materials are very cool and the features such as oximetry and heart monitoring and the shock sensor are very important and useful even more in the pandemic,screen
22,i had to call t mobile and give them the serial number to get the cellphone data going and i am 41 i can not see those tiny number but thank god for the zoom in feature before calling them it was taking too long to sync after i called them it was smooth sailing i can use my watch to text and voice my messages all while the kids play on my iphone,screen
23,watch is beautiful everything runs smoothly the health app is tolerable but there are other options in the app store finish of the watch is great the battery is more or less but it charges really fast and very expensive but it works as it should work apple has to polish this watch because it has competitors for half the price that delivers much more,others
24,bought it as a christmas gift for the wifey she loves it it is an upgrade from her last one she loves how she can answer phone calls and talk through it,screen
25,i liked the watch however amazon dropped the price dollar42 less than 5 days after i got it from them amazon refused to refund the price difference so i returned it battery life was awful even when i removed numerous apps from it and turned off numerous notifications the watch itself i also decided i did not need that big of an electronic nanny measuring how long i washed my hands when i needed to take deep breaths etc so i decided to not buy it at all simply not for me,battery
26,satisfied with the screen much more clear for me love this present wifey here,screen
27,the watch is nice the battery life does not last more than a day specially if you use the workout activity app,battery
28,love the screen improvement,screen
29,apps that were included were excellent,others
30,used as a watch and a fitness and health tracker disappointed that the mobile apps are overpriced and require a monthly subscription also requires the the wireless apple headphones and additional monthly data subscription added to phone bill to make full use of the product capabilities,screen
31,i got this specifically for the advertisement that if you fall hard it will call authorities the peace of mind makes it worth every penny,screen
32,it's cool even but it's not worth the price charged to pay 3 thousand on a watch that doesn't identify when I'm sleeping it's ridiculous my previous one of 700 reais did that,others
33,i love my new watch put it really stinks that they do not provide you with a charging block especially since it does not use the same little block as all the others do and you do not see it in the description it is an extra dollar20 to dollar30 for one,others
34,thank you very much,screen
35,great little watch enjoy it a lot and fits my small wrist perfect,others
36,i was worried the watch was not going to work based on some of these reviews but it came in perfect condition it did take a while to charge up but then it was good to go buy it the battery has lasted me all day,battery
37,use everyday good quality and good product,others
38,got this watch as a christmas gift for my husband he loves it it was easy to setup and pair with his iphone he has worn it every day and i am very happy with the quality and the great price,others
39,christmas present made wifes day uses it constantly who knew i am just getting around to relying on my cell for time instead of wristwatch and now i find out everyone is back to their wrist and talking into it next will be molar speaker implants and direct to retinal nerve video gotta love it,others
40,the apples watch has a great set of features integration with apps and level of control on notifications which is something i noticed missing on other watches i had tried ability to unlock your iphone which is great if you are wearing a mask these days also the apple pay is nice bonus best smartwatch i have tried to date biggest draw backs short battery life plan to charge it daily and no temperature sensor,battery
41,great size and great programs to use,screen
42,Excellent product as apple standard however I expected more from the battery,battery
43,i dislike the battery life if you havevto charge it every night so if you have to charge it every night then what good is the sleep function charging cord does not have the usb connection so you also have to go and buy another cord or abother plug to use it,battery
44,i was concerned that it might have been a refurbished product but it was not it is the real deal and everything came in so quickly i am quite happy with my new watch,others
45,it took me a while to decide to upgrade my apple watch hard to justify a smart watch over dollar300 in my opinion however my series 3 was so slow took forever to install an update no space for apps data storage etc i got a fitbit charge 5 as a temporary place holder tried to convince myself i liked it more than an apple watch ultimately i came back to apple i opted for the 41mm series 7 because i did not need an extra 4mm for another dollar100 it moves so seamlessly fast to charge lightyears ahead of the series 3 lots of new watch face templates to choose from beautiful edge to edge display of course you can choose to have always on display but that will quickly deplete your battery life ultimately just get the upgrade that is within your budget and you will not regret it,battery
46,this watch comes with no means of connecting it to electricity to charge it it has as c connection and they want another dollar19 for a plug that allows you to connect to the electricity to get a charge i went elsewhere and bought the charger i refused to give them extra money it was not the dollar19 it was the fact that they would sell a product that could not be used out of the box,others
47,i have owned an apple watch since the 2 i had the 4 and loved it the 7 is equally as great and is faster bigger with always on and blood oxygen detection the stainless steel feels more substantial and looks better but the aluminum is great too i have not owned a titanium or ceramic version all my bands work with this bigger size,strap
48,came in original packaging and was exactly as described was easy to setup and got it connected with my verizon account and it looks good and works as intended,screen
49,very frustrating to get this set up been trying for 2 weeks i just can not get this to set up,others
50,my first watch and its really good it does impossible things but might be little bit expensive though,screen
51,i gave my to my sis and ordered a new serires 7 love at first sight,screen
