,Text,Text Classification,Sentiment
0,ordered this watch on tuesday and received thursday set up in a quick 10 minutes and so far love love 100percent worth the money,screen,positive
1,love my apple watch,screen,positive
2,i have been wanting an apple watch for a while i finally found one on here and it has been amazing,screen,positive
3,love everything about this watch,screen,positive
4,thanks amazon for the fast shipping love my new series 7 red apple watch,screen,positive
5,very awesome watch,screen,positive
6,i love the bigger screen and new features,screen,positive
7,it is a great watch and thanks to amazon i received it a month earlier 10 22 than ordering from apple or verizon and waiting to be delivered on late november or early december,screen,positive
8,this new watch is so much easier to read i really love it,screen,positive
9,i was hoping this was not a scam because every store was out of this watch i am pleased to say it is perfect,screen,positive
10,I'm changing models despite the reviews it's worth the upgrade the screen is very beautiful wide the new colors and materials are very cool and the features such as oximetry and heart monitoring and the shock sensor are very important and useful even more in the pandemic,screen,positive
11,i had to call t mobile and give them the serial number to get the cellphone data going and i am 41 i can not see those tiny number but thank god for the zoom in feature before calling them it was taking too long to sync after i called them it was smooth sailing i can use my watch to text and voice my messages all while the kids play on my iphone,screen,positive
12,bought it as a christmas gift for the wifey she loves it it is an upgrade from her last one she loves how she can answer phone calls and talk through it,screen,positive
13,satisfied with the screen much more clear for me love this present wifey here,screen,positive
14,love the screen improvement,screen,positive
15,used as a watch and a fitness and health tracker disappointed that the mobile apps are overpriced and require a monthly subscription also requires the the wireless apple headphones and additional monthly data subscription added to phone bill to make full use of the product capabilities,screen,negative
16,i got this specifically for the advertisement that if you fall hard it will call authorities the peace of mind makes it worth every penny,screen,positive
17,thank you very much,screen,positive
18,great size and great programs to use,screen,positive
19,came in original packaging and was exactly as described was easy to setup and got it connected with my verizon account and it looks good and works as intended,screen,positive
20,my first watch and its really good it does impossible things but might be little bit expensive though,screen,positive
21,i gave my to my sis and ordered a new serires 7 love at first sight,screen,positive
22,kinda small compare to 44mmthe main issue is it limit too much i can not change or design the watch face freely or those simple design need some third party app the notification also too limited when i using my phone i can not get vibrate from the watch anymore that lead a problem is1 when turn on do not disturb all silenced like no watch 2 when i planned get notification from watch shake and accidentally open my phone loud noise from my phone come out due to some app is bad design i can not use silence mode if i want to hear something   i know apple like to make decisions for customers but not this one maybe blame bad app developers who silence their app when phone at silence mode when there is a positive media volume,screen,negative
23,this is my first ever apple watch i love it actually forgot to put it on today and boy do i miss counting my steps and tracking my activity very happy,screen,positive
24,had the original apple watch ungraded to the 7 works well like being able to make screen print larger good connection with iphone can answer phone with a double clench worth the money,screen,positive
25,excellent delivery on time product same as advertised totally original apple watch all items advertised came as stated in the ad,screen,positive
26,the sleep tracking and mobile apps r great,screen,positive
27,i have had a samsung phone and watch forever just purchased a iphone 13 and this watch absolutely amazing,screen,positive
28,i love my apple watch with my whole heart,screen,positive
29,it is my first apple watch an awesome feature like monitoring the heart rate blood oxygen ecg on demand it is very comfortable to wear many daily reminders activity alerts very smooth fabulous touch the series 7 45mm is the best and most high resolution screen it has some wonderful nice watch faces along with custom faces features it is a great product from apple battery life is too good it is the best smartwatch for iphone owners,screen,positive
30,by far the best smartwatch to be used with the apple ecosystem the integration is amazing and you can do practically everything with it including going for a walk with the headphones connected directly to it with music downloaded from spotify really amazing,screen,positive
31,it is a great watch,screen,positive
32,i would not give this watch up for anything i have afib and i am able to check when i have episodes tonight i took a hard fall and i was greatjul to be able to stop the alarm i was just barely ok,screen,negative
33,i was in need of an updated watch my old one was a series 2 and just was not working well anymore so happy i got the 7 i absolutely love it 100percent recommend getting,screen,positive
34,my watch charges at night so i can not take advantage of the sleep tracking,screen,negative
35,this is my first apple watch i bought it for the health apps to track heart rate and rhythm on the second day wearing it i had a major cardiac event that included svts and afib my pulse was accurately tracked compared to the medical equipment at the hospital the afib detection worked accurately but only when my heart rate was around 100 bpm or lower see the second picture when my heart rate was 101 it did not detect the afib even though the machine in the hospital did,screen,negative
36,love my new apple watch somehow makes me be less busy with my phone,screen,positive
37,awesome watch charges faster than previous versions more or display area,screen,positive
38,love apple watches as soon as i saw the larger face on the series 7 i had to upgrade tons of watch face options as well definitely recommend and can not beat with dollar50 off,screen,positive
39,wonderful watch easy to use and setups,screen,positive
40,resisted buying one for couple of years at 79 i decided to give in i did add cellular services exercise walking without having to carry iphone is great all the health features are too numerous to mention but i use them daily charges in 45 minutes highly recommended,screen,positive
41,i just upgraded from a s3 and to be honest i have a hard time finding the improvements the screen because of the rolled edges and the way text kind of rolls off the side looks strange and gives the impression your using a 3rd party app that was not designed for your system but you are not it is apple the ecg system is honestly the only reason i bought the watch and love that feature if you do not need the ecg stay with the se or s6 as that one does not utilize the rolled edges,screen,positive
42,i liked the watch overall and use it to avoid using my cell at some times during the day like work etc,screen,positive
43,best watch ever king if kings no issues so far,screen,positive
44,this watch has literally everything you can imagine setup was easy except the ecg which i have not done yet will need to google it i do not understand the griping about missing block really you have an apple watch with an a but not a c if you do not have the block just purchase a couple of converters for dollar7 and plug into c,screen,negative
45,can not believe i waited this long to get an i watch,screen,negative
46,it is a watch lol what more do you want alright let is see screen is great scratch resistant but not impervious which is fine great product you can talk to your watch for calls just like power rangers what more do you need lol the box that it comes in is worth it too love the box presentation love it one big flaw does not seem to want to work with amazon music guess apple company does not quite like its competitors but it will connect to pandora lol,screen,positive
