,Text,Text Classification,Sentiment
0,i received my package today and was very disappointed to find one watch band and no watch,strap,negative
1,i have owned an apple watch since the 2 i had the 4 and loved it the 7 is equally as great and is faster bigger with always on and blood oxygen detection the stainless steel feels more substantial and looks better but the aluminum is great too i have not owned a titanium or ceramic version all my bands work with this bigger size,strap,positive
2,i was notified that apple watch package had arrived a short while ago after opening package i realized the watch itself was not in package only the watch band and cord were in box,strap,negative
3,i have a small wrist so the adjustable band on this apple watch is perfect for me,strap,positive
4,love the gold finish it is not too overwhelming the size is amazing loop is durable and high quality worth it,strap,positive
5,very functional for those who use the apple ecosystem I need heart rate measurements etc. many options for apps and bracelets I find it interesting for those who want to use it in physical activities who only look for cell phone notifications I think the cost x benefit is low for these cases a smartband of 200 reais watch out good,strap,positive
6,my husband went to open up his birthday gift of this apple watch and there was the charger the band but there was no apple watch in the box this is the second time i have ordered an apple watch off amazon and received no apple watch,strap,negative
7,amazing watch i bought it from amazon warehouse works great pristine condition i was able to purchase apple care too i got the stainless steel with dark cherry band looks so pretty,strap,positive
8,watch is very versatile and looks great easy to use and an abundance of info be careful our first box was missing the actual watch and one band seems like the seals were broken amazon replaced immediately,strap,positive
9,i am upgrading from a series 1 so it is a completely different watch i am very satisfied with this purchase most of the heart monitoring functions only work with people older than 22 which is frustrating for me especially since i paid for the watch so i should get access to all the features nonetheless i really like the starlight apple watch and band it is very subtle and nice to look at hopefully braided solo loops get a sale soon bc i really would like one it is a pain that they do not give power bricks but this is the new age i highly suggest you purchase many usb c power bricks and switch all cords from usb a to usb c anker has great ones and you can always find deals for them,strap,positive
10,when i bought this apple watch series 7 was out of stock almost everywhere but amazon had it in stock with free overnight delivery and it was dollar30 off retail price it arrived well packed in its original unopened box and in perfect condition i have been very happy with the watch and the graphite milanese loop band,strap,positive
11,love it note this watch keeps me up to date it's stylish with a leather strap and you'll look great with any outfit,strap,positive
